SalesID,DateKey,CustomerID,ProductID,Quantity,UnitPrice,SalesAmount
1,20241006,1137,1,5,1890,9450
2,20241016,1057,17,5,400,2000
3,20230106,1130,4,8,1412,11296
4,20240115,1184,5,1,1274,1274
5,20230627,1159,7,8,295,2360
6,20241218,1199,6,7,248,1736
7,20240421,1057,20,3,907,2721
8,20230215,1096,8,5,292,1460
9,20241102,1013,4,1,1412,1412
10,20240910,1159,3,4,728,2912
11,20230625,1079,5,3,1274,3822
12,20230524,1183,2,6,1408,8448
13,20230522,1027,11,7,1118,7826
14,20241124,1160,5,3,1274,3822
15,20230711,1097,3,4,728,2912
16,20240108,1080,3,5,728,3640
17,20230816,1071,4,9,1412,12708
18,20230119,1086,2,7,1408,9856
19,20240423,1019,12,4,835,3340
20,20230703,1002,8,8,292,2336
21,20240615,1137,2,9,1408,12672
22,20241202,1053,6,3,248,744
23,20230715,1139,10,6,849,5094
24,20230922,1063,20,5,907,4535
25,20240119,1129,10,5,849,4245
26,20230810,1020,20,8,907,7256
27,20241012,1077,1,2,1890,3780
28,20240928,1170,1,7,1890,13230
29,20240421,1078,12,1,835,835
30,20230908,1054,1,4,1890,7560
31,20230908,1147,16,1,532,532
32,20240321,1133,18,4,1059,4236
33,20240731,1128,9,4,814,3256
34,20240705,1093,11,1,1118,1118
35,20230923,1078,15,7,742,5194
36,20230708,1184,10,2,849,1698
37,20241031,1041,1,1,1890,1890
38,20231102,1163,8,9,292,2628
39,20240229,1195,15,9,742,6678
40,20240702,1183,19,1,1176,1176
41,20230222,1197,9,8,814,6512
42,20240501,1146,17,7,400,2800
43,20230521,1170,13,9,330,2970
44,20240508,1031,12,1,835,835
45,20231209,1069,15,1,742,742
46,20230101,1087,19,3,1176,3528
47,20240303,1125,6,6,248,1488
48,20241129,1077,10,8,849,6792
49,20230111,1057,11,6,1118,6708
50,20240702,1145,20,9,907,8163
51,20231202,1093,12,7,835,5845
52,20240601,1038,17,5,400,2000
53,20240515,1149,7,3,295,885
54,20241208,1180,4,1,1412,1412
55,20240330,1198,7,5,295,1475
56,20241211,1105,10,3,849,2547
57,20240625,1180,13,2,330,660
58,20230727,1136,20,4,907,3628
59,20230204,1118,9,4,814,3256
60,20241110,1101,7,5,295,1475
61,20240416,1003,17,7,400,2800
62,20230710,1115,9,9,814,7326
63,20240319,1053,2,5,1408,7040
64,20230723,1040,17,8,400,3200
65,20230507,1035,15,8,742,5936
66,20240830,1057,4,7,1412,9884
67,20241212,1137,10,4,849,3396
68,20230615,1190,13,6,330,1980
69,20240702,1159,9,8,814,6512
70,20241103,1197,8,2,292,584
71,20240217,1163,4,4,1412,5648
72,20230309,1180,3,4,728,2912
73,20231226,1188,1,1,1890,1890
74,20241014,1035,17,1,400,400
75,20240814,1064,12,8,835,6680
76,20230102,1094,14,4,1236,4944
77,20240425,1042,1,7,1890,13230
78,20241006,1162,1,3,1890,5670
79,20240608,1102,13,4,330,1320
80,20230531,1001,4,5,1412,7060
81,20230430,1060,4,7,1412,9884
82,20240926,1196,14,4,1236,4944
83,20230819,1179,8,4,292,1168
84,20230125,1027,12,3,835,2505
85,20240413,1044,4,9,1412,12708
86,20231119,1101,19,1,1176,1176
87,20230320,1100,2,7,1408,9856
88,20240726,1023,6,6,248,1488
89,20230523,1026,16,2,532,1064
90,20230526,1188,1,1,1890,1890
91,20230104,1008,7,6,295,1770
92,20231117,1143,9,6,814,4884
93,20241204,1051,13,3,330,990
94,20240518,1080,5,3,1274,3822
95,20230807,1168,10,7,849,5943
96,20230429,1026,12,1,835,835
97,20240328,1181,17,8,400,3200
98,20230330,1096,15,8,742,5936
99,20240826,1189,13,7,330,2310
100,20230609,1024,6,3,248,744
101,20240507,1049,17,6,400,2400
102,20240120,1191,6,8,248,1984
103,20240610,1127,13,9,330,2970
104,20231110,1180,7,7,295,2065
105,20230512,1090,17,5,400,2000
106,20240610,1011,18,2,1059,2118
107,20241017,1180,8,9,292,2628
108,20241028,1126,16,6,532,3192
109,20241213,1014,10,6,849,5094
110,20230413,1022,16,1,532,532
